ID,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
1,IndiGo,24-03-2019,Banglore,New Delhi,BLR _ DEL,22:20,22-03-2019 01:10,2h 50m,non-stop,No info,3897
2,Air India,01-05-2019,Kolkata,Banglore,CCU _ IXR _ BBI _ BLR,05:50,13:15,7h 25m,2 stops,No info,7662
3,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ LKO _ BOM _ COK,09:25,10-06-2019 04:25,19h,2 stops,No info,13882
4,IndiGo,12-05-2019,Kolkata,Banglore,CCU _ NAG _ BLR,18:05,23:30,5h 25m,1 stop,No info,6218
5,IndiGo,01-03-2019,Banglore,New Delhi,BLR _ NAG _ DEL,16:50,21:35,4h 45m,1 stop,No info,13302
6,SpiceJet,24-06-2019,Kolkata,Banglore,CCU _ BLR,09:00,11:25,2h 25m,non-stop,No info,3873
7,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,18:55,13-03-2019 10:25,15h 30m,1 stop,In-flight meal not included,11087
8,Jet Airways,01-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:00,02-03-2019 05:05,21h 5m,1 stop,No info,22270
9,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:55,13-03-2019 10:25,25h 30m,1 stop,In-flight meal not included,11087
10,Multiple carriers,27-05-2019,Delhi,Cochin,DEL _ BOM _ COK,11:25,19:15,7h 50m,1 stop,No info,8625
11,Air India,01-06-2019,Delhi,Cochin,DEL _ BLR _ COK,09:45,23:00,13h 15m,1 stop,No info,8907
12,IndiGo,18-04-2019,Kolkata,Banglore,CCU _ BLR,20:20,22:55,2h 35m,non-stop,No info,4174
13,Air India,24-06-2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4667
14,Jet Airways,09-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,10-05-2019 09:20,12h 10m,1 stop,In-flight meal not included,9663
15,IndiGo,24-04-2019,Kolkata,Banglore,CCU _ BLR,17:15,19:50,2h 35m,non-stop,No info,4804
16,Air India,03-03-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,16:40,04-03-2019 19:15,26h 35m,2 stops,No info,14011
17,SpiceJet,15-04-2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,5830
18,Jet Airways,12-06-2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,13-06-2019 12:35,22h 35m,1 stop,In-flight meal not included,10262
19,Air India,12-06-2019,Delhi,Cochin,DEL _ CCU _ BOM _ COK,20:15,13-06-2019 19:15,23h,2 stops,No info,13381
20,Jet Airways,27-05-2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,28-05-2019 12:35,20h 35m,1 stop,In-flight meal not included,12898
21,GoAir,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,14:10,19:20,5h 10m,1 stop,No info,19495
22,Air India,21-03-2019,Banglore,New Delhi,BLR _ COK _ DEL,22:00,19-03-2019 13:20,15h 20m,1 stop,No info,6955
23,IndiGo,03-04-2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943
24,IndiGo,01-05-2019,Banglore,Delhi,BLR _ DEL,18:55,21:50,2h 55m,non-stop,No info,4823
25,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,07-05-2019 08:15,13h 20m,1 stop,In-flight meal not included,7757
26,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ IDR _ BOM _ COK,21:25,10-06-2019 12:35,15h 10m,2 stops,No info,13292
