Airline,Source,Destination,Total_Stops,Price,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
IndiGo,Banglore,Delhi,0,3897.0,170,24,3,2019,22,20,1,10,22,3,2019
Air India,Kolkata,Banglore,2,7662.0,445,5,1,2019,5,50,13,15,5,1,2019
Jet Airways,Delhi,Cochin,2,13882.0,1140,6,9,2019,9,25,4,25,6,10,2019
IndiGo,Kolkata,Banglore,1,6218.0,325,5,12,2019,18,5,23,30,5,12,2019
IndiGo,Banglore,Delhi,1,13302.0,285,3,1,2019,16,50,21,35,3,1,2019
SpiceJet,Kolkata,Banglore,0,3873.0,145,24,6,2019,9,0,11,25,24,6,2019
Jet Airways,Banglore,Delhi,1,11087.0,930,3,12,2019,18,55,10,25,13,3,2019
Jet Airways,Banglore,Delhi,1,22270.0,1265,3,1,2019,8,0,5,5,3,2,2019
Jet Airways,Banglore,Delhi,1,11087.0,1530,3,12,2019,8,55,10,25,13,3,2019
Multiple carriers,Delhi,Cochin,1,8625.0,470,27,5,2019,11,25,19,15,27,5,2019
Air India,Delhi,Cochin,1,8907.0,795,6,1,2019,9,45,23,0,6,1,2019
IndiGo,Kolkata,Banglore,0,4174.0,155,18,4,2019,20,20,22,55,18,4,2019
Air India,Chennai,Kolkata,0,4667.0,135,24,6,2019,11,40,13,55,24,6,2019
Jet Airways,Kolkata,Banglore,1,9663.0,730,5,9,2019,21,10,9,20,5,10,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,24,4,2019,17,15,19,50,24,4,2019
Air India,Delhi,Cochin,2,14011.0,1595,3,3,2019,16,40,19,15,3,4,2019
SpiceJet,Delhi,Cochin,1,5830.0,270,15,4,2019,8,45,13,15,15,4,2019
Jet Airways,Delhi,Cochin,1,10262.0,1355,6,12,2019,14,0,12,35,13,6,2019
Air India,Delhi,Cochin,2,13381.0,1380,6,12,2019,20,15,19,15,13,6,2019
Jet Airways,Delhi,Cochin,1,12898.0,1235,27,5,2019,16,0,12,35,28,5,2019
GoAir,Delhi,Cochin,1,19495.0,310,3,6,2019,14,10,19,20,3,6,2019
Air India,Banglore,Delhi,1,6955.0,920,21,3,2019,22,0,13,20,19,3,2019
IndiGo,Banglore,Delhi,0,3943.0,170,4,3,2019,4,0,6,50,4,3,2019
IndiGo,Banglore,Delhi,0,4823.0,175,5,1,2019,18,55,21,50,5,1,2019
Jet Airways,Kolkata,Banglore,1,7757.0,800,5,6,2019,18,55,8,15,5,7,2019
Jet Airways,Delhi,Cochin,2,13292.0,910,6,9,2019,21,25,12,35,6,10,2019
IndiGo,Delhi,Cochin,1,8238.0,345,6,1,2019,21,50,3,35,6,2,2019
GoAir,Delhi,Cochin,1,7682.0,355,15,5,2019,7,0,12,55,15,5,2019
Vistara,Banglore,Delhi,0,4668.0,170,18,6,2019,9,45,12,35,18,6,2019
Vistara,Chennai,Kolkata,0,3687.0,135,15,6,2019,7,5,9,20,15,6,2019
Vistara,Chennai,Kolkata,0,3687.0,135,18,6,2019,7,5,9,20,18,6,2019
Air India,Kolkata,Banglore,2,13227.0,805,5,1,2019,9,50,23,15,5,1,2019
IndiGo,Banglore,Delhi,0,4423.0,170,4,6,2019,4,0,6,50,4,6,2019
Jet Airways,Delhi,Cochin,2,10919.0,1320,15,6,2019,14,35,12,35,16,6,2019
Jet Airways,Delhi,Cochin,1,12373.0,330,18,5,2019,7,5,12,35,18,5,2019
IndiGo,Delhi,Cochin,1,5894.0,625,27,6,2019,10,35,21,0,27,6,2019
SpiceJet,Kolkata,Banglore,1,4649.0,315,21,5,2019,15,5,20,20,21,5,2019
Air India,Kolkata,Banglore,0,6245.0,150,18,5,2019,14,15,16,45,18,5,2019
Jet Airways,Banglore,Delhi,1,19225.0,375,3,6,2019,7,0,13,15,3,6,2019
Jet Airways,Delhi,Cochin,1,14924.0,715,6,3,2019,7,5,19,0,6,3,2019
Multiple carriers,Delhi,Cochin,1,9646.0,665,21,5,2019,7,5,18,10,21,5,2019
Air India,Banglore,Delhi,1,8714.0,510,15,3,2019,6,45,15,15,15,3,2019
Jet Airways,Delhi,Cochin,1,12373.0,1325,18,5,2019,20,55,19,0,19,5,2019
Air Asia,Banglore,Delhi,0,3383.0,165,5,6,2019,11,10,13,55,5,6,2019
Multiple carriers,Delhi,Cochin,1,13062.0,720,21,3,2019,9,0,21,0,21,3,2019
SpiceJet,Banglore,Delhi,0,3527.0,170,24,3,2019,5,45,8,35,24,3,2019
IndiGo,Banglore,Delhi,0,3943.0,170,27,5,2019,4,0,6,50,27,5,2019
