Airline,Source,Destination,Total_Stops,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Jet Airways,Banglore,Delhi,1,435,3,6,2019,8,55,16,10,3,6,2019
Jet Airways,Delhi,Cochin,1,1235,24,6,2019,16,0,12,35,25,6,2019
IndiGo,Mumbai,Hyderabad,0,90,21,5,2019,2,35,4,5,21,5,2019
Jet Airways,Kolkata,Banglore,1,365,24,5,2019,16,30,22,35,24,5,2019
IndiGo,Delhi,Cochin,1,300,27,3,2019,5,5,10,5,27,3,2019
Air India,Banglore,Delhi,1,385,15,3,2019,8,50,15,15,15,3,2019
SpiceJet,Delhi,Cochin,1,380,24,4,2019,15,45,22,5,24,4,2019
Jet Airways,Delhi,Cochin,1,705,3,9,2019,8,0,19,45,3,9,2019
Jet Airways,Banglore,Delhi,1,760,15,3,2019,5,45,18,25,15,3,2019
Jet Airways,Delhi,Cochin,1,1100,27,6,2019,18,15,12,35,28,6,2019
Vistara,Banglore,Delhi,0,170,4,3,2019,9,45,12,35,4,3,2019
Jet Airways,Kolkata,Banglore,1,1410,24,3,2019,21,10,20,40,25,3,2019
IndiGo,Delhi,Cochin,1,345,15,5,2019,21,50,3,35,16,5,2019
Jet Airways,Delhi,Cochin,2,1375,15,6,2019,5,30,4,25,16,6,2019
IndiGo,Banglore,Delhi,0,165,3,3,2019,1,30,4,15,3,3,2019
Air India,Kolkata,Banglore,1,625,6,6,2019,10,0,20,25,6,6,2019
Jet Airways,Delhi,Cochin,2,1925,21,3,2019,10,45,18,50,22,3,2019
IndiGo,Delhi,Cochin,1,570,6,3,2019,16,0,1,30,6,4,2019
SpiceJet,Kolkata,Banglore,0,140,6,9,2019,22,20,0,40,6,10,2019
Multiple carriers,Delhi,Cochin,1,630,4,9,2019,8,45,19,15,4,9,2019
SpiceJet,Kolkata,Banglore,0,150,27,4,2019,17,10,19,40,27,4,2019
Air Asia,Kolkata,Banglore,0,155,6,1,2019,10,20,12,55,6,1,2019
Jet Airways,Kolkata,Banglore,1,1545,21,5,2019,6,30,8,15,22,5,2019
Vistara,Kolkata,Banglore,1,975,4,1,2019,7,10,23,25,4,1,2019
Jet Airways,Delhi,Cochin,1,365,3,6,2019,22,20,4,25,3,7,2019
Multiple carriers,Delhi,Cochin,1,780,15,5,2019,6,0,19,0,15,5,2019
Jet Airways,Delhi,Cochin,2,1390,27,5,2019,13,25,12,35,28,5,2019
Air India,Kolkata,Banglore,0,150,24,5,2019,14,15,16,45,24,5,2019
Air Asia,Delhi,Cochin,1,870,18,5,2019,7,55,22,25,18,5,2019
Jet Airways,Kolkata,Banglore,1,570,5,12,2019,14,5,23,35,5,12,2019
Jet Airways,Delhi,Cochin,2,910,6,12,2019,21,25,12,35,13,6,2019
IndiGo,Mumbai,Hyderabad,0,85,15,3,2019,19,5,20,30,15,3,2019
Multiple carriers,Delhi,Cochin,1,480,18,5,2019,13,0,21,0,18,5,2019
Air India,Banglore,Delhi,2,1600,3,1,2019,6,45,9,25,3,2,2019
Jet Airways,Delhi,Cochin,2,810,6,12,2019,5,30,19,0,6,12,2019
Air India,Delhi,Cochin,2,1380,21,5,2019,20,15,19,15,22,5,2019
Air India,Delhi,Cochin,1,765,6,6,2019,20,40,9,25,6,7,2019
IndiGo,Delhi,Cochin,1,325,6,1,2019,2,0,7,25,6,1,2019
IndiGo,Kolkata,Banglore,0,155,6,9,2019,17,15,19,50,6,9,2019
Jet Airways,Delhi,Cochin,2,1460,6,12,2019,12,15,12,35,13,6,2019
Air India,Banglore,Delhi,0,165,4,3,2019,6,10,8,55,4,3,2019
IndiGo,Kolkata,Banglore,0,160,18,4,2019,21,25,0,5,19,4,2019
Multiple carriers,Delhi,Cochin,1,690,6,9,2019,14,0,1,30,6,10,2019
IndiGo,Delhi,Cochin,1,810,15,6,2019,7,30,21,0,15,6,2019
Jet Airways,Mumbai,Hyderabad,0,85,6,9,2019,7,5,8,30,6,9,2019
SpiceJet,Mumbai,Hyderabad,0,90,6,3,2019,5,45,7,15,6,3,2019
IndiGo,Delhi,Cochin,1,305,6,6,2019,23,30,4,35,6,7,2019
Jet Airways,Kolkata,Banglore,1,1405,24,3,2019,16,55,16,20,25,3,2019
IndiGo,Delhi,Cochin,0,195,24,6,2019,14,20,17,35,24,6,2019
Jet Airways,Mumbai,Hyderabad,0,90,27,3,2019,19,35,21,5,27,3,2019
Jet Airways,Delhi,Cochin,2,425,24,6,2019,5,30,12,35,24,6,2019
Jet Airways,Delhi,Cochin,2,810,6,6,2019,5,30,19,0,6,6,2019
Jet Airways,Mumbai,Hyderabad,0,90,5,6,2019,19,35,21,5,5,6,2019
Jet Airways,Kolkata,Banglore,1,1330,5,9,2019,6,30,4,40,5,10,2019
IndiGo,Kolkata,Banglore,0,150,5,3,2019,14,25,16,55,5,3,2019
Jet Airways,Delhi,Cochin,1,550,5,9,2019,19,15,4,25,5,10,2019
Jet Airways,Delhi,Cochin,2,1375,6,1,2019,5,30,4,25,6,2,2019
Jet Airways,Mumbai,Hyderabad,0,90,24,6,2019,19,35,21,5,24,6,2019
Jet Airways,Delhi,Cochin,1,1105,27,5,2019,10,0,4,25,28,5,2019
Air Asia,Kolkata,Banglore,1,710,18,5,2019,7,35,19,25,18,5,2019
SpiceJet,Chennai,Kolkata,0,135,5,3,2019,8,20,10,35,5,3,2019
IndiGo,Chennai,Kolkata,0,140,27,5,2019,14,45,17,5,27,5,2019
IndiGo,Chennai,Kolkata,0,145,5,9,2019,11,35,14,0,5,9,2019
SpiceJet,Mumbai,Hyderabad,0,90,5,12,2019,5,45,7,15,5,12,2019
IndiGo,Kolkata,Banglore,0,155,6,6,2019,11,30,14,5,6,6,2019
Vistara,Delhi,Cochin,0,190,27,5,2019,6,0,9,10,27,5,2019
Multiple carriers,Delhi,Cochin,1,390,6,12,2019,19,0,1,30,13,6,2019
Air India,Kolkata,Banglore,2,970,6,12,2019,16,45,8,55,13,6,2019
Jet Airways,Kolkata,Banglore,1,875,6,12,2019,14,5,4,40,13,6,2019
Jet Airways,Delhi,Cochin,0,195,24,6,2019,11,0,14,15,24,6,2019
Jet Airways,Delhi,Cochin,2,1475,27,3,2019,19,10,19,45,28,3,2019
Jet Airways,Kolkata,Banglore,1,395,21,5,2019,17,0,23,35,21,5,2019
Jet Airways,Kolkata,Banglore,1,1215,6,6,2019,8,25,4,40,6,7,2019
IndiGo,Kolkata,Banglore,0,155,18,4,2019,4,40,7,15,18,4,2019
Jet Airways,Delhi,Cochin,2,1760,15,6,2019,23,5,4,25,17,6,2019
